results_code,area_code,area_name,statprov_code,collection_code,latitude,longitude
BBS,Canada-BCR_8,Canada-BCR_8,NULL,BBS,NULL,NULL
BBS,Canada-BCR_9,Canada-BCR_9,NULL,BBS,NULL,NULL
BBS,CA-NB-14,CA-NB-14,NULL,BBS,NULL,NULL
BBS,CA-NL-8,CA-NL-8,NULL,BBS,NULL,NULL
BBS,CA-NSPE-14,CA-NSPE-14,NULL,BBS,NULL,NULL
BBS,CA-NT-6,CA-NT-6,NULL,BBS,NULL,NULL
BBS,CA-ON-12,CA-ON-12,NULL,BBS,NULL,NULL
BBS,CA-ON-13,CA-ON-13,NULL,BBS,NULL,NULL
BBS,CA-ON-8,CA-ON-8,NULL,BBS,NULL,NULL
BBS,CA-QC-12,CA-QC-12,NULL,BBS,NULL,NULL
BBS,CA-QC-13,CA-QC-13,NULL,BBS,NULL,NULL
BBS,CA-QC-14,CA-QC-14,NULL,BBS,NULL,NULL
BBS,CA-QC-8,CA-QC-8,NULL,BBS,NULL,NULL
BBS,CA-SK-11,CA-SK-11,NULL,BBS,NULL,NULL
BBS,CA-SK-6,CA-SK-6,NULL,BBS,NULL,NULL
BBS,CA-YT-4,CA-YT-4,NULL,BBS,NULL,NULL
BBS,Continental,Continental,NULL,BBS,NULL,NULL
BBS,MB,Manitoba,MB,BBS50-CAN,NULL,NULL
BBS,NB,New Brunswick,NB,BBS50-CAN,NULL,NULL
BBS,NL,Newfoundland and Labrador,NL,BBS50-CAN,NULL,NULL
BBS,NSPE,Nova Scotia and Prince Edward Island,NULL,BBS50-CAN,NULL,NULL
BBS,NT,Northwest Territories,NT,BBS50-CAN,NULL,NULL
BBS,ON,Ontario,ON,BBS50-CAN,NULL,NULL
BBS,QC,Quebec,QC,BBS50-CAN,NULL,NULL
BBS,SK,Saskatchewan,SK,BBS50-CAN,NULL,NULL
BBS,USA,United States of America,NULL,BBS,NULL,NULL
BBS,YT,Yukon,YT,BBS50-CAN,NULL,NULL
BCCPWBS,BC,British Columbia,NULL,NULL,NULL,NULL
BCCWS,SALISHSEA,Salish Sea,BC,BCCWS,NULL,NULL
BCCWS,STRTGEORGIA,Strait of Georgia,BC,BCCWS,NULL,NULL
CBC,AB,Alberta,AB,CBC,NULL,NULL
CBC,BC,British Columbia,BC,CBC,NULL,NULL
CBC,BCR01,BCR_1,NULL,CBC,NULL,NULL
CBC,BCR02,BCR_2,NULL,CBC,NULL,NULL
CBC,BCR03,BCR_3,NULL,CBC,NULL,NULL
CBC,BCR04,BCR_4,NULL,CBC,NULL,NULL
CBC,BCR05,BCR_5,NULL,CBC,NULL,NULL
CBC,BCR06,BCR_6,NULL,CBC,NULL,NULL
CBC,BCR08,BCR_7,NULL,CBC,NULL,NULL
CBC,BCR09,BCR_8,NULL,CBC,NULL,NULL
CBC,BCR10,BCR_9,NULL,CBC,NULL,NULL
CBC,BCR11,BCR_11,NULL,CBC,NULL,NULL
CBC,BCR12,BCR_12,NULL,CBC,NULL,NULL
CBC,BCR13,BCR_13,NULL,CBC,NULL,NULL
CBC,BCR14,BCR_14,NULL,CBC,NULL,NULL
CBC,BCR15,BCR_15,NULL,CBC,NULL,NULL
CBC,BCR16,BCR_16,NULL,CBC,NULL,NULL
CBC,BCR17,BCR_17,NULL,CBC,NULL,NULL
CBC,BCR18,BCR_18,NULL,CBC,NULL,NULL
CBC,BCR19,BCR_19,NULL,CBC,NULL,NULL
CBC,BCR20,BCR_20,NULL,CBC,NULL,NULL
CBC,BCR21,BCR_21,NULL,CBC,NULL,NULL
CBC,BCR22,BCR_22,NULL,CBC,NULL,NULL
CBC,BCR23,BCR_23,NULL,CBC,NULL,NULL
CBC,BCR24,BCR_24,NULL,CBC,NULL,NULL
CBC,BCR25,BCR_25,NULL,CBC,NULL,NULL
CBC,BCR26,BCR_26,NULL,CBC,NULL,NULL
CBC,BCR27,BCR_27,NULL,CBC,NULL,NULL
CBC,BCR28,BCR_28,NULL,CBC,NULL,NULL
CBC,BCR29,BCR_29,NULL,CBC,NULL,NULL
CBC,BCR30,BCR_30,NULL,CBC,NULL,NULL
CBC,BCR31,BCR_31,NULL,CBC,NULL,NULL
CBC,BCR32,BCR_32,NULL,CBC,NULL,NULL
CBC,BCR33,BCR_33,NULL,CBC,NULL,NULL
CBC,BCR34,BCR_34,NULL,CBC,NULL,NULL
CBC,BCR35,BCR_35,NULL,CBC,NULL,NULL
CBC,BCR36,BCR_36,NULL,CBC,NULL,NULL
CBC,BCR37,BCR_37,NULL,CBC,NULL,NULL
CBC,CAN,Canada,NULL,CBC,NULL,NULL
CBC,MB,Manitoba,MB,CBC,NULL,NULL
CBC,NB,New Brunswick,NB,CBC,NULL,NULL
CBC,NL,Newfoundland and Labrador,NL,CBC,NULL,NULL
CBC,NS,Nova Scotia,NS,CBC,NULL,NULL
CBC,NT,Northwest Territories,NT,CBC,NULL,NULL
CBC,NU,Nunavut,NU,CBC,NULL,NULL
CBC,ON,Ontario,ON,CBC,NULL,NULL
CBC,PE,Prince Edward Island,PE,CBC,NULL,NULL
CBC,QC,Quebec,QC,CBC,NULL,NULL
CBC,SK,Saskatchewan,SK,CBC,NULL,NULL
CBC,USA,United States of America,NULL,CBC,NULL,NULL
CBC,USACAN,Continental,NULL,CBC,NULL,NULL
CBC,YT,Yukon,YT,CBC,NULL,NULL
CMMN,ABO,Atlantic Bird Observatory,NS,CMMN-DET-ABO,NULL,NULL
CMMN,ACBO,Albert Creek Bird Observatory,YK,CMMN-DET-ACBO,60.0518,-128.9036
CMMN,ATBP,Atlantic Bird Observatory - Bon Portage Island,NS,CMMN-DET-ATBP,43.46472,-66.74528
CMMN,ATSI,Atlantic Bird Observatory - Seal Island,NS,CMMN-DET-ATSI,43.39389,-66.01389
CMMN,BBO,Beaverhill Bird Observatory,AB,CMMN-DET-BBO,53.38055,-112.5274
CMMN,BIBMRS,Brier Island Bird Migration Research Station,NS,CMMN-DET-BIBMRS,44.259,-66.3609
CMMN,BPBO,Bruce Peninsula Bird Observatory,ON,CMMN-DET-BPBO,45.2061,-81.4247
CMMN,DMBO,Delta Marsh Bird Observatory,MB,CMMN-DET-DMBO,50.1809,-98.4045
CMMN,DRYLAKE,Haldimand Bird Observatory - Dry Lake,ON,CMMN-DET-HBO,NULL,NULL
CMMN,GMNP,Gros Morne National Park Migration Monitoring Station,NL,CMMN-DET-GMNP,49.6039,-57.9572
CMMN,HBO,Haldimand Bird Observatory,ON,CMMN-DET-HBO,NULL,NULL
CMMN,IBS,Inglewood Bird Sanctuary,AB,CMMN-DET-IBS,51.0241,-114.0101
CMMN,IPBO,Innis Point Bird Observatory,ON,CMMN-DET-IPBO,45.3683,-75.8978
CMMN,LMBO,Last Mountain Bird Observatory,SK,CMMN-DET-LMBO,51.35177,-105.2163
CMMN,LPBO,Long Point Bird Observatory,ON,CMMN-DET-LPBO,42.5506,-80.252
CMMN,LPBO1,Long Point Bird Observatory (Tip),ON,CMMN-DET-LPBO,42.5489,-80.0516
CMMN,LPBO2,Long Point Bird Observatory (Breakwater),ON,CMMN-DET-LPBO,42.5665,-80.3078
CMMN,LPBO3,Long Point Bird Observatory (Old Cut),ON,CMMN-DET-LPBO,42.5825,-80.3985
CMMN,LSLBO,Lesser Slave Lake Bird Observatory,AB,CMMN-DET-LSLBO,55.42586,-114.825
CMMN,MGBO,McGill Bird Observatory,QC,CMMN-DET-MGBO,45.431,-73.939
CMMN,MNO,Mackenzie Nature Observatory,BC,CMMN-DET-MNO,55.3167,-123.1333
CMMN,OOT,Observatoire d'oiseaux de Tadoussac,QC,CMMN-DET-OOT,48.15762,-69.66426
CMMN,OOT-1,Observatoire d'oiseaux de Tadoussac,QC,CMMN-DET-OOT,48.15762,-69.66426
CMMN,OOT-2,Observatoire d'oiseaux de Tadoussac,QC,CMMN-DET-OOT,48.15762,-69.66426
CMMN,PEBA,Pedder Bay,BC,CMMN-DET-RPBO,49.2917,-119.5167
CMMN,PEPBO,Prince Edward Point Bird Observatory,ON,CMMN-DET-PEPBO,43.93948,-76.86126
CMMN,PIBO,Pelee Island Bird Observatory,ON,CMMN-DET-PIBO,41.7324,-82.6726
CMMN,PTLE,Point Lepreau,NB,NULL,45.0667,-66.45
CMMN,RBMS,Revelstoke Bird Monitoring Station,BC,CMMN-DET-RBMS,51.0522,-118.195
CMMN,ROCK,Haldimand Bird Observatory - Rock Point,ON,CMMN-DET-HBO,42.51118,-79.33044
CMMN,RPBO,Rocky Point Bird Observatory,BC,CMMN-DET-RPBO,48.32055,-123.5471
CMMN,RUTH,Haldimand Bird Observatory - Ruthven,ON,CMMN-DET-HBO,42.97836,-79.87472
CMMN,SABBS,St. Andrews Bird Banding Station,NB,CMMN-DET-SABBS,45.087,-67.0788
CMMN,SELK,Haldimand Bird Observatory - Selkirk,ON,CMMN-DET-HBO,42.8125,-79.95956
CMMN,TCBO,Thunder Cape Bird Observatory,ON,CMMN-DET-TCBO,48.3316,-88.9261
CMMN,TLBBS,Teslin Lake Bird Banding Station,YK,CMMN-DET-TLBBS,60.25,-132.9667
CMMN,TLBO,Tatlayoko Lake Bird Observatory,YK,CMMN-DET-TLBO,51.65417,-124.408
CMMN,TTPBRS,Tommy Thompson Park Bird Research Station,ON,CMMN-DET-TTPBRS,43.63179,-79.33067
CMMN,VLBO,Vaseux Lake Migration Monitoring Station,BC,CMMN-DET-VLMMS,49.2917,-119.5167
CMMN,VLMMS,Vaseux Lake Migration Monitoring Station,BC,CMMN-DET-VLMMS,49.2917,-119.5167
CMMN,WPBO,Whitefish Point Bird Observatory,MN,CMMN-DET-WPBO,46.7551,-84.9797
COEI,EAST,"Eastern Canada (and Saint-Pierre and Miquelon, France)",NULL,NULL,NULL,NULL
COEI,NB,New Brunswick,NULL,NULL,NULL,NULL
COEI,SLE,"St. Lawrence Estuary, Quebec",NULL,NULL,NULL,NULL
CRANE,Eastern, Mississippi and Atlantic Flyways,NULL,NULL,NULL,NULL
CRANE,PLATTE,Central Platte and North Platte River valleys,NULL,NULL,NULL,NULL
EWS,AF,Atlantic Highlands,NULL,NULL,NULL,NULL
EWS,CBF,Central Boreal Shield,NULL,NULL,NULL,NULL
EWS,EBS,Eastern Boreal Shield,NULL,NULL,NULL,NULL
EWS,EWS,Eastern Waterfowl Survey Area,NULL,NULL,NULL,NULL
EWS,WBS,Western Boreal Shield,NULL,NULL,NULL,NULL
GSNO,CENTRAL,Quebec and Ontario,NULL,NULL,NULL,NULL
GWFG,CanPrairie,Southern Saskatchewan and Alberta,NULL,NULL,NULL,NULL
KARRAK,KARRAK,"Queen Maud Gulf (Ahiak) Bird Sanctuary, Nunavut",NULL,NULL,NULL,NULL
LINCOLN,Arctic,Arctic,NULL,NULL,NULL,NULL
LINCOLN,Eastern,Eastern,NULL,NULL,NULL,NULL
LINCOLN,Mid-Continent,Mid-Continent,NULL,NULL,NULL,NULL
LINCOLN,NorthAmerica,North America,NULL,NULL,NULL,NULL
LINCOLN,Western,Western,NULL,NULL,NULL,NULL
LINCOLN,Western Arctic,Western Arctic,NULL,NULL,NULL,NULL
MIDWINTER,Central Flyway,Central Flyway,NULL,NULL,NULL,NULL
MIDWINTER,Mid-continent,Mid-continent,NULL,NULL,NULL,NULL
MIDWINTER,Mississippi Flyway,Mississippi Flyway,NULL,NULL,NULL,NULL
MIDWINTER,Pacific,Pacific,NULL,NULL,NULL,NULL
MIDWINTER,Total,Combined Mississippi and Central flyways (for LSGO),NULL,NULL,NULL,NULL
MMP,LK.ER.WATERSHED,Lake Erie Watershed,NULL,MMPBIRDS,NULL,NULL
MMP,LK.HU-MI.WATERSHED,Lake Huron and Michigan Watershed,NULL,MMPBIRDS,NULL,NULL
MMP,LK.ON.WATERSHED,Lake Ontario Watershed,NULL,MMPBIRDS,NULL,NULL
MMP,ON.BCR.13,BCR 13 (Ontario),ON,MMPBIRDS,NULL,NULL
MMP,QC.BCR.13,BCR 13 (Quebec),ON,MMPBIRDS,NULL,NULL
NACAGO,North Atlantic,North Atlantic,NULL,NULL,NULL,NULL
NTBWWS,NWT,Northwest Territories,NULL,NULL,NULL,NULL
OWLS,NB,New Brunswick,NB,NULL,NULL,NULL
OWLS,NBNS,New Brunswick and Nova Scotia,NULL,NULL,NULL,NULL
OWLS,NS,Nova Scotia,NS,NULL,NULL,NULL
OWLS,PE,Prince Edward Island,PE,NULL,NULL,NULL
PRISM,NorthAmerica,North America,NULL,PRISM,NULL,NULL
QUEBEC,Atlantic,Atlantic,NULL,NULL,NULL,NULL
QUEBEC,Quebec,Quebec,NULL,NULL,NULL,NULL
QUEBEC,Temperate,Temperate,NULL,NULL,NULL,NULL
RPI,100,Holiday Beach Hawk Watch,ON,HawkCount-100,42.03316,-83.0455
RPI,103,Wildcat Ridge,NJ,HawkCount-103,40.94719,-74.47211
RPI,104,Jacks Mountain,PA,HawkCount-104,40.54347,-77.75703
RPI,105,Rose Tree Park,PA,HawkCount-105,39.939,-75.392
RPI,106,Reed's Beach Autumn Hawk Watch,NJ,HawkCount-106,NULL,NULL
RPI,107,Blueberry Hill,MA,HawkCount-107,42.09583,-72.925
RPI,108,Brady\'s Bend,PA,HawkCount-108,40.98875,-79.58228
RPI,109,Hawk Mountain Sanctuary,PA,HawkCount-109,40.64158,-75.99153
RPI,110,Lehigh Gap Hawkwatch,PA,HawkCount-110,40.78472,-75.61528
RPI,111,Allegheny Front,PA,HawkCount-111,40.08142,-78.72784
RPI,112,Lenoir Wildlife Sanctuary,NY,HawkCount-112,40.97523,-73.88322
RPI,113,Pilgrim Heights,MA,HawkCount-113,42.05,-70.13333
RPI,115,Plum Island MA,MA,HawkCount-115,42.79167,-70.80666
RPI,118,Mount Lorette,AB,HawkCount-118,50.94389,-115.1375
RPI,119,Windy Point,AB,HawkCount-119,50.65,-114.5667
RPI,123,Dinosaur Ridge - Denver Field Ornithologists,CO,HawkCount-123,39.69456,-105.2001
RPI,125,Booth Hill,CT,HawkCount-125,42.01972,-72.96694
RPI,126,Botsford Hill,CT,HawkCount-126,41.52472,-73.33522
RPI,128,Chestnut Hill,CT,HawkCount-128,41.73397,-73.17069
RPI,129,Cove Island,CT,HawkCount-129,45.33333,-81.83334
RPI,132,Flat Hill,CT,HawkCount-132,41.47464,-73.27128
RPI,133,Good Hill,CT,HawkCount-133,41.553,-73.25961
RPI,136,Heritage Village,CT,HawkCount-136,41.48447,-73.234
RPI,137,Johnnycake Mountain,CT,HawkCount-137,41.7547,-72.99442
RPI,138,Lighthouse Point,CT,HawkCount-138,41.24986,-72.90141
RPI,140,Maltby Lakes,CT,HawkCount-140,41.30381,-72.98314
RPI,145,Osborne Hill,CT,HawkCount-145,41.39786,-73.22828
RPI,149,Quaker Ridge,CT,HawkCount-149,41.09711,-73.68867
RPI,156,Southbury Training School Farm,CT,HawkCount-156,41.50028,-73.28167
RPI,158,Taine Mountain,CT,HawkCount-158,NULL,NULL
RPI,159,Talcott Mountain,CT,HawkCount-159,41.81094,-72.79871
RPI,161,Torrington Middle School,CT,HawkCount-161,41.84725,-73.06792
RPI,166,Whippoorwill Hill,CT,HawkCount-166,41.42289,-73.34331
RPI,169,Cape Henlopen Hawk Watch,DE,HawkCount-169,38.78417,-75.08417
RPI,171,Grammer Grove Hawkwatch,IA,HawkCount-171,42.16768,-93.03555
RPI,172,Hitchcock Nature Center,IA,HawkCount-172,41.41323,-95.85865
RPI,173,Lost Mound Refuge,IL,HawkCount-173,42.20555,-90.28
RPI,174,Indiana Dunes,IN,HawkCount-174,41.65,-87.01667
RPI,175,Pine Mountain,CT,HawkCount-175,NULL,NULL
RPI,181,Barre Falls,MA,HawkCount-181,42.43167,-72.02583
RPI,184,Bolton Flats,MA,HawkCount-184,42.46072,-71.6608
RPI,200,Fort Hill,MS,HawkCount-200,32.36666,-90.86667
RPI,224,Mount Holyoke Summit - Skinner State Park,MA,HawkCount-224,42.30052,-72.58765
RPI,226,Mount Tekoa,MA,HawkCount-226,42.16667,-72.8
RPI,227,"Mount Tom, Massachusetts",MA,HawkCount-227,42.275,-72.625
RPI,228,Wachusett Mountain,MA,HawkCount-228,42.48917,-71.8875
RPI,229,Mount Watatic,MA,HawkCount-229,42.69672,-71.89256
RPI,238,Pilgrim Heights,MA,HawkCount-238,42.05,-70.13333
RPI,239,Pinnacle Rock,MA,HawkCount-239,42.43889,-71.07806
RPI,253,Southwick WMA Hawkwatch,MA,HawkCount-253,42.0365,-72.74503
RPI,255,Spruce Hill,MA,HawkCount-255,42.63334,-72.63333
RPI,268,Saint Adolphe,MB,HawkCount-268,49.66667,-98.25
RPI,272,Fort Smallwood Park,MD,HawkCount-272,39.16333,-76.47694
RPI,278,Turkey Point,MD,HawkCount-278,39.45215,-76.00753
RPI,279,Washington Monument State Park,MD,HawkCount-279,39.54689,-77.60993
RPI,280,"Cadillac Mt., Acadia National Park",ME,HawkCount-280,44.35265,-68.22461
RPI,284,Port Huron,MI,HawkCount-284,43.1,-82.5
RPI,285,Detroit River Hawk Watch,MI,HawkCount-285,42.07918,-83.1937
RPI,286,Whitefish Point,MI,HawkCount-286,46.77111,-84.95528
RPI,288,Hawk Ridge,MN,HawkCount-288,46.84722,-92.03194
RPI,292,Rogers Pass,MT,HawkCount-292,47.08004,-112.379
RPI,293,Bullhead Mountain,NC,HawkCount-293,36.44722,-81.06555
RPI,300,Mahogany Rock,NC,HawkCount-300,36.44131,-81.09529
RPI,303,Mount Pisgah,NC,HawkCount-303,35.4425,-82.7198
RPI,305,Pea Island NWR,NC,HawkCount-305,35.63334,-75.46667
RPI,306,Pilot Mountain State Park,NC,HawkCount-306,36.34222,-80.47861
RPI,308,Bare Mountain,MA,HawkCount-308,42.37333,-72.52055
RPI,310,Little Blue Job Mountain,NH,HawkCount-310,43.339,-71.11576
RPI,315,Interlakes Elementary School,NH,HawkCount-315,43.65528,-71.49917
RPI,317,Little Round Top Migration Observatory,NH,HawkCount-317,43.57903,-71.7307
RPI,320,Pack Monadnock Raptor Migration Observatory,NH,HawkCount-320,42.86331,-71.87935
RPI,321,Peaked Hill,NH,HawkCount-321,43.6,-71.66666
RPI,322,Peter Wood Hill,NH,HawkCount-322,43.0957,-71.817
RPI,328,Cape May,NJ,HawkCount-328,38.93258,-74.958
RPI,330,Chimney Rock Hawk Watch,NJ,HawkCount-330,40.58222,-74.55622
RPI,332,Kittatinny Mountain,NJ,HawkCount-332,41.15064,-74.841
RPI,334,Montclair Hawk Lookout,NJ,HawkCount-334,40.84664,-74.21294
RPI,338,Picatinny Peak,NJ,HawkCount-338,40.95217,-74.55647
RPI,339,Raccoon Ridge,NJ,HawkCount-339,41.01486,-75.04256
RPI,340,Sandy Hook Migration Watch,NJ,HawkCount-340,40.5,-74
RPI,342,Scott\'s Mountain,NJ,HawkCount-342,40.74186,-75.10867
RPI,343,State Line Hawkwatch,NJ,HawkCount-343,40.98972,-73.90611
RPI,345,Sunrise Mountain,NJ,HawkCount-345,41.21813,-74.72044
RPI,347,Sandia Mountains,NM,HawkCount-347,35.08667,-106.4325
RPI,351,Bear Mountain Farm,VA,HawkCount-351,38.44083,-79.69361
RPI,353,Braddock Bay,NY,HawkCount-353,43.30361,-77.71611
RPI,355,Central Park,NY,HawkCount-355,40.77953,-73.96975
RPI,358,Derby Hill Bird Observatory,NY,HawkCount-358,43.5275,-76.23944
RPI,359,Fire Island,NY,HawkCount-359,40.63075,-73.22489
RPI,360,Fort Tilden,NY,HawkCount-360,40.55956,-73.90158
RPI,361,Franklin Mt.,NY,HawkCount-361,42.42539,-75.04694
RPI,364,Hamburg Hawk Watch,NY,HawkCount-364,42.75583,-78.86166
RPI,368,Hook Mountain,NY,HawkCount-368,41.12089,-73.91833
RPI,371,Mohonk Preserve,NY,HawkCount-371,41.73592,-74.19547
RPI,372,Mount Peter,NY,HawkCount-372,41.245,-74.28799
RPI,375,Pelham Bay,NY,HawkCount-375,40.91667,-73.83334
RPI,381,Ripley Hawk Watch,NY,HawkCount-381,42.30973,-79.64955
RPI,387,Conneaut Hawkwatch,OH,HawkCount-387,41.94728,-80.59146
RPI,389,Niagara Peninsula Hawkwatch - Beamer Conservation Area,ON,HawkCount-389,43.18833,-79.57333
RPI,391,Cranberry Marsh,ON,HawkCount-391,43.84025,-78.96603
RPI,392,Hawk Cliff Hawkwatch,ON,HawkCount-392,42.66433,-81.17011
RPI,393,High Park,ON,HawkCount-393,43.64636,-79.46561
RPI,395,Iroquois Shoreline,ON,HawkCount-395,43.93508,-78.96909
RPI,399,Bake Oven Knob,PA,HawkCount-399,40.74833,-75.73358
RPI,405,BroadwingSEPT - Buckingham,PA,HawkCount-405,40.29086,-75.05656
RPI,406,BroadwingSEPT - Core Creek,PA,HawkCount-406,40.19358,-74.93168
RPI,407,BroadwingSEPT - Lake Nockamixon,PA,HawkCount-407,40.47989,-75.21951
RPI,408,BroadwingSEPT - Peace Valley,PA,HawkCount-408,40.31079,-75.20486
RPI,409,BroadwingSEPT - Pipersville,PA,HawkCount-409,40.44563,-75.13922
RPI,410,BroadwingSEPT - Pleasant Valley,PA,HawkCount-410,40.53951,-75.29955
RPI,411,BroadwingSEPT - Lehigh,PA,HawkCount-411,40.5919,-75.36016
RPI,413,Cornwall Fire Tower,PA,HawkCount-413,40.28333,-76.36667
RPI,414,Council Cup,PA,HawkCount-414,41.07669,-76.12148
RPI,417,Hopewell Fire Tower,PA,HawkCount-417,NULL,NULL
RPI,420,Little Gap,PA,HawkCount-420,40.80589,-75.54119
RPI,423,Militia Hill,PA,HawkCount-423,40.1205,-75.22269
RPI,430,Rocky Ridge,PA,HawkCount-430,40.0129,-76.65439
RPI,431,Route 183,PA,HawkCount-431,40.52697,-76.22356
RPI,432,Second Mountain,PA,HawkCount-432,40.47275,-76.62148
RPI,435,Sterret\'s Gap,PA,HawkCount-435,40.28333,-77.16666
RPI,436,"Stone Mt., Pa.",PA,HawkCount-436,40.57178,-77.82636
RPI,437,Tuscarora Summit,PA,HawkCount-437,39.91464,-77.95839
RPI,438,Tussey Mountain Hawk Watch,PA,HawkCount-438,40.71053,-77.90459
RPI,439,Waggoner's Gap,PA,HawkCount-439,40.27719,-77.27603
RPI,441,WHP/WITF Tower,PA,HawkCount-441,40.35,-76.86667
RPI,442,Plateau de Beaupre,QC,HawkCount-442,47.04222,-70.91167
RPI,447,Ace Basin,SC,HawkCount-447,32.71667,-80.6
RPI,448,Caesar\'s Head,SC,HawkCount-448,35.10556,-82.62833
RPI,449,Chamber\'s Mt.,SC,HawkCount-449,35.56667,-82.9
RPI,451,Hilton Head Island,SC,HawkCount-451,32.23333,-80.7
RPI,452,Huntington State Park,CT,HawkCount-452,41.33261,-73.35928
RPI,457,Santee Coastal,SC,HawkCount-457,33.15325,-79.32816
RPI,458,Sullivan\'s Island,SC,HawkCount-458,32.76472,-79.86186
RPI,459,Tibwin,SC,HawkCount-459,33.06736,-79.516
RPI,466,Soddy Mountain Hawk Watch,TN,HawkCount-466,35.32372,-85.16183
RPI,468,Bentsen Rio Grande Valley State Park,TX,HawkCount-468,26.16889,-98.38055
RPI,470,Corpus Christi HawkWatch,TX,HawkCount-470,27.86555,-97.64278
RPI,471,Hazel Bazemore County Park,TX,HawkCount-471,27.86578,-97.64272
RPI,472,Santa Ana National Wildlife Refuge,TX,HawkCount-472,26.08247,-98.13897
RPI,473,Sylvan Beach,TX,HawkCount-473,29.65306,-95.00916
RPI,474,Jordanelle Reservoir,UT,HawkCount-474,40.6,-111.4333
RPI,476,College Creek,VA,HawkCount-476,37.21667,-76.70277
RPI,482,Harvey's Knob,VA,HawkCount-482,37.44525,-79.72683
RPI,484,Kiptopeke Hawkwatch,VA,HawkCount-484,37.16378,-75.97667
RPI,487,Candler Mountain,VA,HawkCount-487,37.35305,-79.16417
RPI,491,Rockfish Gap Hawk Watch,VA,HawkCount-491,38.02958,-78.85872
RPI,493,SHORT HILL Mountain,VA,HawkCount-493,39.28472,-77.70556
RPI,494,Snickers Gap,VA,HawkCount-494,39.1155,-77.84695
RPI,501,Mt. Philo State Park,VT,HawkCount-501,44.27861,-73.21639
RPI,504,Paine Mountain,VT,HawkCount-504,44.15,-72.58334
RPI,506,Putney Mountain VT,VT,HawkCount-506,43.00443,-72.5956
RPI,513,Cape Flattery/Neah Bay,WA,HawkCount-513,48.36666,-124.75
RPI,514,Chequamegon Bay,WI,HawkCount-514,46.5845,-90.96432
RPI,515,Concordia University Hawk Watch,WI,HawkCount-515,43.25,-87.91666
RPI,516,Eagle Valley,WI,HawkCount-516,42.79167,-91.075
RPI,518,East River Mountain,WV,HawkCount-518,37.25,-81.16666
RPI,519,Hanging Rock Tower,WV,HawkCount-519,37.47361,-80.42223
RPI,527,Illinois Beach State Park,IL,HawkCount-527,42.46695,-87.805
